Task,Start.End,Type,Time
parsepage,end,inter,1724713829909
parsepage,start,inter,1724713830976
parsepage,end,inter,1724713841930
parsepage,start,inter,1724713843022
parsepage,end,inter,1724713854327
parsepage,start,inter,1724713855368
parsepage,end,inter,1724713863023
parsepage,start,inter,1724713864099
parsepage,end,inter,1724713878428
parsepage,start,inter,1724713879516
parsepage,end,inter,1724713890285
parsepage,start,inter,1724713891369
parsepage,end,inter,1724713895991
parsepage,start,inter,1724713897070
parsepage,end,inter,1724713908876
validateURL,start,inter,1724714263942
validateURL,end,inter,1724714268193
parsepage,start,inter,1724731579717
parsepage,end,inter,1724731596625
parsepage,start,inter,1724731599883
parsepage,end,inter,1724731621938
parsepage,start,inter,1724731625490
parsepage,end,inter,1724731648262
parsepage,start,inter,1724731651095
parsepage,end,inter,1724731658603
parsepage,start,inter,1724731660713
parsepage,end,inter,1724731664585
parsepage,start,inter,1724731666689
parsepage,end,inter,1724731674871
parsepage,start,inter,1724731677247
parsepage,end,inter,1724731690063
parsepage,start,inter,1724731692113
parsepage,end,inter,1724731703578
parsepage,start,inter,1724731705957
parsepage,end,inter,1724731711730
parsepage,start,inter,1724731713831
parsepage,end,inter,1724731725386
parsepage,start,inter,1724731727657
parsepage,end,inter,1724731739203
parsepage,start,inter,1724731741488
parsepage,end,inter,1724731752984
parsepage,start,inter,1724731754981
parsepage,end,inter,1724731767486
parsepage,start,inter,1724731769999
parsepage,end,inter,1724731779882
parsepage,start,inter,1724731782057
parsepage,end,inter,1724731795753
parsepage,start,inter,1724731797748
parsepage,end,inter,1724731810560
parsepage,start,inter,1724731812950
parsepage,end,inter,1724731826728
parsepage,start,inter,1724731832054
parsepage,end,inter,1724731845732
parsepage,start,inter,1724731859860
parsepage,end,inter,1724731877511
parsepage,start,inter,1724731880348
parsepage,end,inter,1724731891114
parsepage,start,inter,1724731893887
parsepage,end,inter,1724731905053
parsepage,start,inter,1724731907307
parsepage,end,inter,1724731923276
parsepage,start,inter,1724731926102
parsepage,end,inter,1724731934127
parsepage,start,inter,1724731936313
parsepage,end,inter,1724731943808
parsepage,start,inter,1724731947101
parsepage,end,inter,1724731955680
parsepage,start,inter,1724731959090
parsepage,end,inter,1724731979685
parsepage,start,inter,1724731982137
parsepage,end,inter,1724731992822
parsepage,start,inter,1724731995238
parsepage,end,inter,1724732003066
parsepage,start,inter,1724732005437
parsepage,end,inter,1724732020196
parsepage,start,inter,1724732022678
parsepage,end,inter,1724732033703
parsepage,start,inter,1724732035824
parsepage,end,inter,1724732044374
parsepage,start,inter,1724732046420
parsepage,end,inter,1724732055196
parsepage,start,inter,1724732057071
parsepage,end,inter,1724732067270
parsepage,start,inter,1724732069511
parsepage,end,inter,1724732078994
parsepage,start,inter,1724732081022
parsepage,end,inter,1724732092261
parsepage,start,inter,1724732094499
parsepage,end,inter,1724732102434
parsepage,start,inter,1724732104477
parsepage,end,inter,1724732113696
parsepage,start,inter,1724732115681
parsepage,end,inter,1724732122728
parsepage,start,inter,1724732124716
parsepage,end,inter,1724732140355
writemem,start,intra,1724736820048
writemem,end,intra,1724736820112
fetchmem,start,intra,1724783986308
validateURL,start,inter,1724783993228
validateURL,end,inter,1724783999555
validateURL,start,inter,1724784001673
validateURL,end,inter,1724784005696
validateURL,start,inter,1724784008020
validateURL,end,inter,1724784010702
validateURL,start,inter,1724784012866
validateURL,end,inter,1724784025782
validateURL,start,inter,1724784027816
validateURL,end,inter,1724784034931
validateURL,start,inter,1724784037403
validateURL,end,inter,1724784042500
validateURL,start,inter,1724784044932
validateURL,end,inter,1724784047959
validateURL,start,inter,1724784050011
validateURL,end,inter,1724784053519
validateURL,start,inter,1724784055529
validateURL,end,inter,1724784059184
validateURL,start,inter,1724784061234
validateURL,end,inter,1724784065656
validateURL,start,inter,1724784068141
validateURL,end,inter,1724784075479
validateURL,start,inter,1724784079739
validateURL,end,inter,1724784085873
validateURL,start,inter,1724784088227
validateURL,end,inter,1724784091058
validateURL,start,inter,1724784092945
validateURL,end,inter,1724784095151
validateURL,start,inter,1724784096571
validateURL,end,inter,1724784098190
validateURL,start,inter,1724784099539
validateURL,end,inter,1724784103155
validateURL,start,inter,1724784104521
validateURL,end,inter,1724784107751
validateURL,start,inter,1724784108863
validateURL,end,inter,1724784110822
validateURL,start,inter,1724784111884
validateURL,end,inter,1724784114605
validateURL,start,inter,1724784115682
validateURL,end,inter,1724784120012
validateURL,start,inter,1724784121140
validateURL,end,inter,1724784125496
validateURL,start,inter,1724784126581
validateURL,end,inter,1724784130038
validateURL,start,inter,1724784131173
validateURL,end,inter,1724784135208
validateURL,start,inter,1724784136280
validateURL,end,inter,1724784139690
validateURL,start,inter,1724784140797
validateURL,end,inter,1724784143233
validateURL,start,inter,1724784144332
validateURL,end,inter,1724784147345
validateURL,start,inter,1724784148432
validateURL,end,inter,1724784156310
validateURL,start,inter,1724784157464
validateURL,end,inter,1724784162241
validateURL,start,inter,1724784163458
validateURL,end,inter,1724784166846
validateURL,start,inter,1724784167926
validateURL,end,inter,1724784171307
validateURL,start,inter,1724784172411
validateURL,end,inter,1724784175445
validateURL,start,inter,1724784176599
validateURL,end,inter,1724784178536
validateURL,start,inter,1724784179603
validateURL,end,inter,1724784183871
validateURL,start,inter,1724784184953
validateURL,end,inter,1724784188522
validateURL,start,inter,1724784189636
validateURL,end,inter,1724784193268
validateURL,start,inter,1724784194384
validateURL,end,inter,1724784197169
validateURL,start,inter,1724784198267
validateURL,end,inter,1724784203746
validateURL,start,inter,1724784204980
validateURL,end,inter,1724784207941
validateURL,start,inter,1724784209089
validateURL,end,inter,1724784211091
validateURL,start,inter,1724784212265
validateURL,end,inter,1724784216688
fetchmem,end,intra,1724784216689
parsepage,start,inter,1724784367691
parsepage,end,inter,1724784381058
parsepage,start,inter,1724784382354
parsepage,end,inter,1724784395010
parsepage,start,inter,1724784396248
parsepage,end,inter,1724784403584
parsepage,start,inter,1724784404758
parsepage,end,inter,1724784413477
parsepage,start,inter,1724784414571
parsepage,end,inter,1724784421326
parsepage,start,inter,1724784422387
parsepage,end,inter,1724784424654
parsepage,start,inter,1724784425705
parsepage,end,inter,1724784436232
parsepage,start,inter,1724784437274
parsepage,end,inter,1724784444039
